Player,Pos,3P,2P,TRB,AST,STL,BLK
Gerald Green,SG,2.1,1,2.5,0.5,0.5,0.4
Daniel Hamilton,SG,0.4,0.8,2.5,1.2,0.3,0.1
Dusty Hannahs,SG,0,1.5,0.5,2.5,0.5,0
Tim Hardaway,SG,2.5,3.5,3.4,2.4,0.8,0.1
Montrezl Harrell,C,0,6.6,6.5,2,0.9,1.3
Gary Harris,SG,1.4,3.3,2.8,2.2,1,0.3
Joe Harris,SG,2.4,2.5,3.8,2.4,0.5,0.2
Josh Hart,SG,1.4,1.4,3.7,1.4,1,0.6
Udonis Haslem,C,0,1.1,2.7,0.2,0,0
John Henson,C,0.8,1.4,5.1,1,0.5,0.8
Willy Hernang?mez,C,0.3,2.4,5.4,1,0.3,0.3
Buddy Hield,SG,3.4,4.2,5,2.5,0.7,0.4
Nen? Hil?rio,C,0,1.4,2.9,0.6,0.4,0.4
Jrue Holiday,SG,1.8,6.4,5,7.7,1.6,0.8
Justin Holiday,SG,2,1.7,3.9,1.8,1.5,0.4
Richaun Holmes,C,0,3.2,4.7,0.9,0.6,1.1
Rodney Hood,SG,1.2,2.9,2.2,1.8,0.8,0.2
Al Horford,C,1.1,4.6,6.7,4.2,0.9,1.3
Dwight Howard,C,0,4.8,9.2,0.4,0.8,0.4
Kevin Huerter,SG,1.8,1.9,3.3,2.9,0.9,0.3
Isaac Humphries,C,0.6,0.6,2.2,0,0.2,0
R.J. Hunter,SG,4,2,3,3,1,0
Serge Ibaka,C,0.7,5.6,8.1,1.3,0.4,1.4
Andre Ingram,SG,0,0,0.5,0,0.3,0
Josh Jackson,SG,0.9,3.5,4.4,2.3,0.9,0.7
John Jenkins,SG,0.8,0.8,1.4,0.8,0,0.1
Amir Johnson,C,0.2,1.3,2.9,1.2,0.3,0.3
Nikola Joki?,C,1,6.7,10.8,7.3,1.4,0.7
Damian Jones,C,0,2.2,3.1,1.2,0.5,1
DeAndre Jordan,C,0,4.1,13.1,2.3,0.6,1.1
Frank Kaminsky,C,1.1,1.9,3.5,1.3,0.3,0.3
Enes Kanter,C,0.1,5.4,9.8,1.7,0.5,0.4
Luke Kennard,SG,1.7,1.9,2.9,1.8,0.4,0.2
Furkan Korkmaz,SG,1,1.1,2.2,1.1,0.6,0
Kosta Koufos,C,0,1.7,4.2,0.9,0.4,0.4
Jeremy Lamb,SG,1.5,4,5.5,2.2,1.1,0.4
Zach LaVine,SG,1.9,6.5,4.7,4.5,1,0.4
Courtney Lee,SG,0.5,1.1,1.6,1.1,0.6,0.1
Damion Lee,SG,0.8,0.9,2,0.4,0.4,0
Alex Len,C,1,3.2,5.5,1.1,0.4,0.9
Meyers Leonard,C,0.8,1.3,3.8,1.2,0.2,0.1
Zach Lofton,SG,0,0,0,0,1,0
Kevon Looney,C,0,2.7,5.2,1.5,0.6,0.7
Brook Lopez,C,2.3,2.1,4.9,1.2,0.6,2.2
Robin Lopez,C,0.1,4,3.9,1.2,0.1,1.1
Daryl Macon,SG,0.6,0.6,1.5,0.9,0.1,0
J.P. Macura,SG,0,1.5,1.5,1,0,0
Ian Mahinmi,C,0.1,1.3,3.8,0.7,0.7,0.5
Boban Marjanovi?,C,0.1,2.7,4.6,0.9,0.3,0.5
Tahjere McCall,SG,0,2,1,0,0,0
Patrick McCaw,SG,0.3,0.6,1.7,1,0.8,0.1
CJ McCollum,SG,2.4,5.8,4,3,0.8,0.4
JaVale McGee,C,0,5.3,7.5,0.7,0.6,2
Rodney McGruder,SG,1.2,1.6,3.6,1.7,0.5,0.2
Ben McLemore,SG,0.9,0.4,0.9,0.2,0.3,0.2
Jordan McRae,SG,0.4,1.9,1.5,1.1,0.5,0.3
Jodie Meeks,SG,1,1.6,1.5,1,0.1,0.1
Salah Mejri,C,0.3,1.2,3.6,1,0.3,0.7
Shake Milton,SG,0.7,1,1.8,0.9,0.4,0.4
Donovan Mitchell,SG,2.4,6.1,4.1,4.2,1.4,0.4
Naz Mitrou-Long,SG,0.1,0.3,0.4,1.1,0.1,0.1
Malik Monk,SG,1.5,1.6,1.9,1.6,0.5,0.3
Greg Monroe,C,0,2.1,4,0.6,0.3,0.2
E'Twaun Moore,SG,1.4,3.4,2.4,1.9,0.8,0.2
Jaylen Morris,SG,0.3,0.8,1.3,1,0.5,0
D?anan Musa,SG,0.1,0.9,0.6,0.2,0.2,0
Larry Nance,C,0.5,3.2,8.2,3.2,1.5,0.6
Joakim Noah,C,0,2.6,5.7,2.1,0.5,0.7
Nerlens Noel,C,0,2.1,4.2,0.6,0.9,1.2
Jusuf Nurki?,C,0,5.8,10.4,3.2,1,1.4
David Nwaba,SG,0.5,2,3.2,1.1,0.7,0.3
Kyle O'Quinn,C,0,1.5,2.6,1.2,0.2,0.6
Jahlil Okafor,C,0,3.6,4.7,0.7,0.3,0.7
Josh Okogie,SG,0.8,1.8,2.9,1.2,1.2,0.4
Victor Oladipo,SG,2.1,4.9,5.6,5.2,1.7,0.3
Zaza Pachulia,C,0,1.3,3.9,1.3,0.5,0.3
Justin Patton,C,0,0.7,2,1,0.7,0
Theo Pinson,SG,0.7,0.7,2,1.2,0.3,0
Mason Plumlee,C,0,3.2,6.4,3,0.8,0.9
Miles Plumlee,C,0,1.8,2.2,0.9,0.3,0.2
Jakob P?ltl,C,0,2.4,5.3,1.2,0.4,0.9
Dwight Powell,C,0.5,3.3,5.3,1.5,0.6,0.6
Norman Powell,SG,1.1,2.1,2.3,1.5,0.7,0.2
J.J. Redick,SG,3.2,2.8,2.4,2.7,0.4,0.2
Davon Reed,SG,0.2,0.3,0.6,0.3,0.1,0
Cameron Reynolds,SG,1.1,0.6,1.6,0.7,0.3,0.1
Josh Richardson,SG,2.2,3.5,3.6,4.1,1.1,0.5
Malachi Richardson,SG,0.4,0,0.6,0,0,0
Austin Rivers,SG,1.4,1.7,2.1,2.2,0.6,0.3
Jerome Robinson,SG,0.5,0.8,1.2,0.6,0.3,0.1
Mitchell Robinson,C,0,3.1,6.4,0.6,0.8,2.4
Terrence Ross,SG,2.7,2.8,3.5,1.7,0.9,0.4
Domantas Sabonis,C,0.1,5.5,9.3,2.9,0.6,0.4
Brandon Sampson,SG,0.8,1.2,1.1,0.7,0.6,0.2
Wayne Selden,SG,0.7,1.9,2.4,1.5,0.4,0.2
Landry Shamet,SG,2.1,0.9,1.7,1.5,0.5,0.1
Iman Shumpert,SG,1.5,1.2,3,1.8,1,0.4
Jordan Sibert,SG,1,0,0,0,0,0
Anfernee Simons,SG,0.5,0.9,0.7,0.7,0.1,0
Marcus Smart,SG,1.6,1.4,2.9,4,1.8,0.4
J.R. Smith,SG,1.1,1.4,1.6,1.9,1,0.3
Zhaire Smith,SG,1,1.3,2.2,1.7,0.3,0.3
Nik Stauskas,SG,1,1,1.9,1.2,0.3,0.1
D.J. Stephens,SG,0,1,0,0,1,0
Lance Stephenson,SG,1.1,1.6,3.2,2.1,0.6,0.1
Garrett Temple,SG,1.2,1.6,2.9,1.4,1,0.4
Jared Terrell,SG,0.3,0.6,0.4,0.9,0.2,0.1
